Country,Eigenvector Centrality Difference
Nauru,-3.954109291155438e-14
Tuvalu,-1.0333801904161287e-10
Palau,-3.068874356702421e-09
Micronesia,-9.461801192232534e-09
"Samoa, American",-1.79027892265482e-08
Kiribati,-3.801914923200494e-08
Vanuatu,-5.5288691653933566e-08
Tonga,-7.398767490592632e-08
Marshall Islands,-9.229179754700921e-07
Fiji,-1.3146014568499504e-06
French Polynesia,-3.252384568683508e-06
Nicaragua,-4.295253909146396e-06
Costa Rica,-7.321637730744142e-06
Northern Marianas,-8.171915725507938e-06
Paraguay,-1.1540179198161643e-05
El Salvador,-1.2475522754783422e-05
Chile,-1.8288656257032032e-05
Papua New Guinea,-5.2465835584112644e-05
Cambodia,-5.737222082941723e-05
Ecuador,-6.118650717313614e-05
Guam,-0.00012340159246236436
Peru,-0.00017580514725891596
Guatemala,-0.00019531483113661725
Colombia,-0.0004948532821909574
New Zealand,-0.000496753305814101
Mexico,-0.0017631640635761773
Vietnam,-0.0026236910919273993
Australia,-0.0026659708627232324
South Korea,-0.0027893478681293694
Philippines,-0.005991046644512806
U.S.A.,-0.008271340055158487
Panama,-0.008872195247461018
Japan,-0.009474071841509488
"Hong Kong, S.A.R., China",-0.029505982506312423
China,-0.030982237141303874
